std_id,oucontent
331358,181
291334,293
238007,143
2649826,187
296332,197
2229865,119
2470694,82
1765788,466
144801,198
2278464,71
489455,148
354858,39
11391,195
404804,104
393207,115
183947,90
102952,169
127582,53
441888,67
290757,58
2576122,95
2153153,504
1626710,126
442442,158
2268379,173
2578995,70
188278,345
307866,174
277880,347
2051699,217
1620151,298
2255601,371
336207,201
228082,22
200860,35
342514,100
241729,92
365642,144
279572,115
31604,85
2689958,131
1894188,275
248270,145
420087,65
2083877,108
581129,59
104476,178
2557283,219
2342426,142
175392,172
246834,103
498857,124
167906,78
231554,164
324002,220
123044,192
1105478,192
760729,156
2460080,380
175932,169
262934,212
1860318,37
2486127,105
588775,364
300398,113
174782,142
512460,41
241649,184
305386,244
749412,91
2411778,244
155854,246
1942396,42
148993,82
365244,143
102806,186
978739,192
2364471,196
2358969,94
187100,319
137873,77
603861,116
2164705,90
2643002,86
2613116,96
1976139,4
414117,158
333059,26
306897,38
172112,144
185439,85
1970390,259
470588,169
386952,82
302302,61
151358,#REF!
321942,247
905042,138
550383,170
164259,53
205719,157
343446,223
380953,130
402470,217
494424,17
2694424,59
2481901,136
2458355,110
2639641,125
2671132,221
2650282,142
2678643,108
704156,227
1686521,158
1801641,55
2208424,99
383254,57
101781,538
282821,279
281250,#REF!
311917,211
180753,98
189879,104
159954,146
111717,141
949618,17
53025,63
70464,155
294570,149
2080474,81
2182846,139
1640609,101
345357,184
57506,189
366483,142
398552,71
62155,126
1889511,88
350188,63
141355,152
129955,142
147756,122
2329342,114
1488959,204
1889577,147
580389,207
30268,52
2617002,67
2498700,43
2376496,83
1352868,205
2429854,182
2552472,34
134143,315
2574583,225
157568,169
1938355,71
2641155,278
392756,50
2171627,82
2197016,80
116692,69
364177,101
2598871,88
2062879,100
75091,106
258894,237
441018,#REF!
2586560,166
705379,242
271251,234
135400,105
114999,77
145130,109
2073016,179
1518989,241
1414443,159
508818,168
192183,220
376581,219
342007,246
2011876,89
2312620,14
2369266,171
113295,300
1402638,126
235507,74
312537,295
290201,285
306466,#REF!
202635,30
2367155,94
2012966,125
721259,146
415969,214
28400,55
98094,417
114017,147
1618738,102
1746134,149
591774,42
286488,#REF!
2688067,#REF!
346025,59
368963,113
2669816,32
319047,143
2555340,333
2293923,36
392931,108
183096,197
2146792,180
2482700,244
2532302,76
2155014,78
1456619,68
2516503,86
2412002,237
1801229,192
295741,99
281022,87
175991,#REF!
106577,58
287548,99
2437837,256
2600688,89
2594139,184
544103,283
401869,127
258392,90
307061,48
142326,88
376439,#REF!
227517,218
186149,105
65002,62
77367,77
2676809,35
2194100,153
2461190,178
2521459,115
1035023,#REF!
564450,#REF!
568601,142
52130,96
172797,55
333323,86
334333,39
429958,44
2566163,105
2550279,131
2104505,157
2412967,#REF!
2666246,81
2562034,#REF!
2574528,113
236284,87
345068,#REF!
298696,64
318933,101
228222,#REF!
229361,64
168936,98
116541,167
110175,74
2529279,#REF!
2084066,327
2566592,76
2691206,75
294594,117
306107,78
344282,13
240884,74
2691244,#REF!
268733,36
242793,79
260355,#REF!
94961,86
2143752,173
969076,136
495284,168
45642,83
146188,31
357668,19
45462,167
205350,96
2469673,#REF!
2358056,#REF!
2449878,26
262011,124
444677,148
390890,103
71361,182
59185,208
2344901,#REF!
2685865,180
368824,#REF!
91265,91
606143,111
1758449,100
1847830,129
2518069,97
2639449,59
281589,#REF!
2559575,83
2457256,194
386924,#REF!
141377,#REF!
135335,25
240712,#REF!
305152,41
229179,64
2620584,#REF!
396872,102
63400,148
106247,33
334259,84
227499,56
155550,151
1401935,#REF!
32885,102
38053,81
118983,#REF!
324084,75
2606098,36
572652,102
339972,36
181316,95
132976,75
255548,183
2391984,95
2411661,38
2551220,73
2639540,46
958987,68
968578,13
74372,#REF!
312782,#REF!
184271,103
58873,55
368194,15
1729319,119
971027,121
2479954,#REF!
2698257,79
388722,39
268073,152
324282,#REF!
155984,73
100893,26
2645733,100
2339528,13
2456480,36
195262,67
405088,#REF!
2122180,143
1465690,101
2536991,28
2664024,56
342972,38
332789,36
256815,2
335764,86
346843,22
388885,56
2599352,49
2139353,79
2523736,19
2542724,6
2149225,7
